Date,PFE,JNJ,NVAX,MRNA,AZN,BNTX
2020-01-02,16514072.0,5777000.0,6124200.0,1233600.0,3587300.0,139500.0
2020-01-03,14922848.0,5752400.0,1709000.0,1751000.0,1208700.0,176000.0
2020-01-06,15771951.0,7731300.0,2111700.0,1606500.0,1992300.0,333300.0
2020-01-07,20108107.0,7382900.0,1024000.0,1461400.0,1871900.0,562100.0
2020-01-08,16403507.0,6605800.0,1790100.0,1041600.0,1869000.0,193900.0
2020-01-09,21971895.0,6112700.0,2095000.0,1495700.0,1959000.0,234900.0
2020-01-10,21557357.0,5042600.0,1682100.0,4504700.0,1872900.0,369100.0
2020-01-13,15392405.0,4593200.0,1766900.0,2207500.0,2395900.0,459400.0
2020-01-14,20919160.0,7037500.0,924700.0,1782800.0,2230800.0,266300.0
2020-01-15,23925800.0,4960300.0,5107000.0,2055000.0,2489400.0,361000.0
2020-01-16,16216422.0,6476000.0,4380200.0,4918400.0,3078300.0,692100.0
2020-01-17,23083970.0,9083600.0,9559900.0,3348400.0,2685900.0,615100.0
2020-01-21,23115696.0,9543900.0,55305200.0,2089600.0,1964100.0,264500.0
2020-01-22,18097812.0,10305300.0,16921200.0,10920700.0,1924000.0,318200.0
2020-01-23,27148510.0,8671900.0,16709400.0,3663900.0,1560800.0,192900.0
2020-01-24,34143698.0,9051900.0,10553600.0,2947800.0,4466500.0,209700.0
2020-01-27,31964026.0,7587100.0,16742100.0,10294700.0,2265600.0,120000.0
2020-01-28,70202408.0,7336600.0,8664300.0,5649300.0,1765400.0,165200.0
2020-01-29,34165726.0,6288600.0,5591100.0,4671900.0,4044800.0,184200.0
2020-01-30,32316589.0,6470600.0,3738800.0,3061800.0,5974200.0,228600.0
2020-01-31,33894005.0,8651700.0,6765900.0,2833600.0,4129300.0,138700.0
2020-02-03,20875735.0,5765200.0,4206800.0,3155400.0,1990900.0,177600.0
2020-02-04,31150865.0,6541400.0,4168300.0,1824400.0,1698800.0,137600.0
2020-02-05,29443490.0,5979900.0,2158500.0,2656800.0,2303000.0,405000.0
2020-02-06,21047748.0,6201200.0,1457600.0,1929700.0,2531000.0,387400.0
2020-02-07,21903596.0,5700300.0,2607200.0,10144200.0,1995500.0,166700.0
2020-02-10,19998385.0,4835600.0,6183600.0,9356800.0,1983200.0,121700.0
2020-02-11,16027335.0,3715300.0,2429000.0,6188300.0,1848800.0,175300.0
2020-02-12,22944315.0,5166800.0,2715000.0,19231800.0,2483000.0,157700.0
2020-02-13,22099745.0,5480200.0,4408600.0,6837000.0,2807500.0,107100.0
2020-02-14,21006747.0,5716300.0,2732800.0,5384500.0,6665400.0,128700.0
2020-02-18,17988513.0,7230700.0,2577100.0,4121900.0,3927900.0,66200.0
2020-02-19,17750941.0,6115200.0,2132000.0,3148000.0,3269000.0,253800.0
2020-02-20,42953135.0,7464700.0,2355000.0,4562200.0,3000200.0,152200.0
2020-02-21,32425256.0,7776800.0,1804300.0,3651100.0,4105800.0,158700.0
2020-02-24,37969296.0,10588900.0,5044200.0,7605400.0,4537600.0,148400.0
2020-02-25,41878898.0,10529000.0,2947800.0,65001900.0,4347100.0,201500.0
2020-02-26,47920005.0,10093800.0,24614800.0,76444500.0,3900300.0,213300.0
2020-02-27,55444827.0,12566700.0,27547100.0,68256300.0,4055800.0,112400.0
2020-02-28,66071993.0,19825500.0,36373200.0,24253700.0,5656500.0,234400.0
2020-03-02,42034469.0,11508200.0,14261700.0,33084000.0,6134400.0,185100.0
2020-03-03,46174475.0,13662500.0,9957300.0,17599100.0,4247800.0,297900.0
2020-03-04,38712155.0,10560500.0,10977400.0,11817700.0,3337400.0,127100.0
2020-03-05,35096303.0,11339200.0,14057100.0,14670000.0,5756900.0,77000.0
2020-03-06,40931036.0,12239100.0,13250800.0,21097500.0,3439100.0,279200.0
2020-03-09,43183856.0,13848600.0,8328800.0,14124100.0,5031200.0,190200.0
2020-03-10,40548329.0,12698100.0,12365400.0,13019500.0,9144800.0,327500.0
2020-03-11,65350213.0,17763400.0,9052100.0,14809600.0,5829400.0,119000.0
2020-03-12,62731445.0,21539200.0,5488400.0,11305300.0,5412900.0,184100.0
2020-03-13,60553038.0,20084200.0,6115400.0,11853100.0,11898000.0,197600.0
2020-03-16,50995050.0,18877900.0,4779400.0,39850800.0,7346800.0,1935900.0
2020-03-17,54220606.0,18911800.0,11624000.0,44484100.0,5411700.0,2939800.0
2020-03-18,43884976.0,17521100.0,11034100.0,28702300.0,4909200.0,3027000.0
2020-03-19,59820929.0,18482300.0,11901400.0,36952800.0,9234700.0,1598500.0
2020-03-20,52488989.0,19785100.0,5726000.0,16522400.0,10050700.0,1174000.0
2020-03-23,52853041.0,20815200.0,3064600.0,11080800.0,5674000.0,994100.0
2020-03-24,44466784.0,17604800.0,18556500.0,12550500.0,6129400.0,579700.0
2020-03-25,44601275.0,13986100.0,6975400.0,9651500.0,6575400.0,333200.0
2020-03-26,43269967.0,15066800.0,5283600.0,5570800.0,6742700.0,471600.0
2020-03-27,38290344.0,12133200.0,8245600.0,12408300.0,6783100.0,246200.0
2020-03-30,29943508.0,21754000.0,6502600.0,10749900.0,6985600.0,591200.0
2020-03-31,29466151.0,15746100.0,6296200.0,6022100.0,8411200.0,243300.0
2020-04-01,26709625.0,12606100.0,5953000.0,7004600.0,6097700.0,259100.0
2020-04-02,27186876.0,11594500.0,3110300.0,15934400.0,5918800.0,245700.0
2020-04-03,32837370.0,10071200.0,9144800.0,16896200.0,3372700.0,227300.0
2020-04-06,40503217.0,14994400.0,5415800.0,10841600.0,5735200.0,331000.0
2020-04-07,24226295.0,11567100.0,4704500.0,10104300.0,5600600.0,1461700.0
2020-04-08,25523980.0,10758200.0,13825700.0,4119800.0,3860200.0,819800.0
2020-04-09,30714930.0,11127200.0,4766100.0,4861800.0,5628200.0,1483000.0
2020-04-13,18270141.0,8153200.0,4114700.0,5603900.0,6555700.0,880700.0
2020-04-14,21845309.0,13838000.0,3936500.0,8126900.0,5109000.0,863900.0
2020-04-15,21312196.0,11962300.0,3455100.0,15683000.0,2901800.0,980600.0
2020-04-16,20657451.0,12181700.0,4188800.0,20670700.0,3218600.0,849400.0
2020-04-17,24404843.0,10920000.0,7478600.0,32286000.0,3349400.0,1008300.0
2020-04-20,22530620.0,12226200.0,27006300.0,34102500.0,3416400.0,1278800.0
2020-04-21,23975233.0,9951100.0,15517500.0,39642000.0,3545400.0,1507200.0
