Date,full_text
2021-01-30,"Partnership is key to addressing GlobalHealth challenges, including the fight against NTDs, like trachoma. Today on WorldNTDDay, learn about our longstanding partnership with  and others to help end trachoma:  BeatNTDs "
2021-01-29,"Ahead of WorldNTDDay tomorrow, learn about our longstanding partnership with  and others to help protect the 137M people at risk of contracting trachoma, the world’s leading infectious cause of blindness:  InfectiousDiseases "
2021-01-29,"Later today,  joins leaders at the  to discuss our response to the pandemic &amp; commitment to working together to improve access to care for all: 





 

DavosAgenda "
2021-01-28,"Pfizer’s Jim Sage joined  for a Congressional Brief to discuss the challenges that chronicpain patients face and the importance of continuing to advance innovation in treatment and care. 

(Sponsored by Pfizer) "
2021-01-27,"Osteoarthritis is a leading cause of chronic pain and disability worldwide. The condition represents a substantial and increasing health burden with significant implications for individuals, health care systems, and society. "
2021-01-27,
2021-01-27,"The  is LIVE with Pfizer’s Chief Scientific Officer, Mikael Dolsten. Tune in now to hear more about our journey to a COVID19 vaccine, including what it took to get here and what the future looks like. TheHillVaccine  "
2021-01-27,"We’re looking forward to continuing the conversation around eczema soon—we’ll be providing you with real stories from patients and caregivers, resources to help guide conversations with your doctor, and more. Stay tuned for EczemaInsideOut!  "
2021-01-26,The Pfizer-BioNTech COVID-19 vaccine has not been approved or licensed by the U.S. FDA but has been authorized for emergency use to prevent COVID-19 in individuals 16+. See conditions of use: 
2021-01-26,"Join our Chief Scientific Officer, Mikael Dolsten, LIVE on  tomorrow in discussion on COVID19 and Pfizer’s journey over the last year:  TheHillVaccine "
2021-01-26,"El temor al COVID19 ha causado que se reduzcan las pruebas de detección del cáncer y citas de seguimiento. Para los sobrevivientes del cáncer, esto supone una gran amenaza. Diego Sacristan destaca la necesidad de continuar la atención contra el cáncer:

 "
2021-01-26,"Fear around COVID19 has led to reduced cancer screenings &amp; follow-up appointments. For those affected by cancer, this poses a major threat. Diego Sacristan highlights the need for continuing cancer care in the . 

"
2021-01-26,: The Pfizer-BioNTech COVID-19 vaccine has not been approved or licensed by the U.S. FDA but has been authorized for emergency us…
2021-01-26,": “R&amp;D should be rewarded with risks,” Dolsten said, but added that when companies like Moderna are given huge lump sums,…"
2021-01-26,The Pfizer of 2021 is all about science and patients. Hear our Chairman &amp; CEO  talk with  about how our evolution into a more focused and innovative biopharma company offers us more opportunities to change lives.  
2021-01-26,"2021’s   biennial ranking has Pfizer among the top five pharmaceutical companies, due to our commitment to access, delivery, and R&amp;D. Learn more about the work we’re doing, and why we moved up:  "
2021-01-25,"At  TheYearAhead,  will discuss how Pfizer plans to progress our science, drive innovation &amp; keep patients at the forefront in 2021.

⌚: Tuesday, Jan 26 at 8:05 am ET
📱 💻 :  "
2021-01-25,"NEWS: The final 12 to 15-year-old participant groupwas enrolled this week in the Pfizer/BioNTech COVID19 vaccine clinical trial.

To find the latest information on our clinical trial, please visit:  "
2021-01-22,We are proud to announce that Pfizer &amp; BioNTech have signed an agreement with COVAX for up to 40M doses of our COVID19 vaccine. This is an important step in the fight against the virus – a fight that will only end when we have OneWorldProtected.   
2021-01-21,We’re glad to see &amp; support the great strides in research that  is making towards CancerHealthEquity! Learn more about the manuscript their Diverse Cancer Communities Working Group recently published. 
2021-01-21,"Explore Behind the Sc(i)en(c)e, our new video series giving a glimpse at the trailblazing work being done by our scientists, told by our scientists. Watch the science of a potential vaccine for LymeDisease here: "
2021-01-20,": According to , 's Ad Awareness increased by 66% in 2020. ScienceWillWin ClientWork "
2021-01-19,"Eczema can lead to physical and emotional burdens. That’s why conversations around the management of eczema, also known as atopic dermatitis (AD), are important. Tell us—how comfortable are you speaking about the impact of your eczema? "
2021-01-18,"Grant Opportunity for HCPs and Research Scientists: Not only is ATTRCM a rare and life-threatening cardiac condition, it’s also significantly underdiagnosed. In collaboration with , we’re supporting research into new diagnostics."
2021-01-18,"Dr. Martin Luther King Jr. once said, “The ultimate measure of a man is not where he stands in moments of comfort and convenience, but where he stands at times of challenge and controversy.” We honor Dr. King as his vision of unity lives through Pfizer colleagues each day. "
2021-01-15,Press play ▶️  to check out this cool behind-the-scenes look of our new window installation at our New York HQ. ScienceWillWin 
2021-01-14,"Physical symptoms of eczema, or atopic dermatitis (AD), can be challenging enough, but the impact beyond physical symptoms may be even more difficult to talk about. W/ EczemaInsideOut, we’re encouraging those w/ eczema to have conversations about all aspects of their care needs."
2021-01-14,"We recognize knowledge exchange as important to continuing education continuum. Learn how our independent medical education grants provide funding for educational initiatives that maintain, develop or increase the knowledge and skills of HCPs.  "
2021-01-13,"We are closely monitoring the new strains and mutations from the virus’ variants. One of the reasons we chose mRNA technology is because of its potential flexibility, including the ability to alter the RNA sequence in the vaccine to potentially address new strains of the virus."
2021-01-13,"We have shipped over 30M doses globally to over 45 countries, with over 10,000 shipments executed to date, and we're proud to have managed this without any major disruptions or events.

JPM2021"
2021-01-13,"The ability to vaccinate at speed to gain herd immunity and stop transmission is our highest priority. There is a lot of work ahead, and our focus is on supporting points of vaccination💉, as that’s key to increasing the volume of people getting vaccinated every day.

JPM2021"
2021-01-13,"She's joining a powerhouse group of players in vaccine development and distribution, including McKesson CEO Brian Tyler, CVS Health EVP &amp; Aetna president , Moderna CEO Stephane Bancel and Dr. Moncef Slaoui, Chief Advisor on Operation Warp Speed.

JPM2021"
2021-01-13,"Angela Hwang, our Group President, Biopharmaceuticals, shares updates on our COVID19 vaccine during this year’s 39th Annual  Healthcare Conference. 

Check out this 🧵 to hear more from Angela. JPM2021 "
2021-01-13,The Pfizer-BioNTech COVID-19 vaccine has not been approved or licensed by the U.S. FDA but has been authorized for emergency use to prevent COVID-19 in individuals 16+. See conditions of use: 
2021-01-12,"EstimATTR, our new educational tool for healthcare providers, highlights clinical conditions commonly associated with wtATTR-CM by combining expert medical knowledge with research in bigdata and ArtificialIntelligence. digitalhealth"
2021-01-11,Quality improvement grants support projects in inflammation &amp; immunology that address practice gaps and have the potential to improve patient outcomes in areas of unmet medical need. Watch this video to learn more:  
2021-01-11,We proudly stand with our scientists who work tirelessly in the pursuit of treatments that save and extend lives. ScienceWillWin 
2021-01-11,JPM2021: Tomorrow  joins a fireside chat with  analyst Chris Schott. Listen to the conversation here:  $PFE 
2021-01-09,We’re leading the charge in AI with the development of EstimATTR. This tool aims to educate healthcare providers about combinations of cardiac and non-cardiac conditions known to be associated with wild-type ATTR-CM.
2021-01-08,The blood-brain barrier has long been the Achilles’ heel of targeted cancer therapies. But scientists at Pfizer Boulder Research &amp; Development are working to develop next generation cancer medicines that can have the potential to penetrate the wall. Learn more:
2021-01-08,We are using bigdata and digital technologies such as ArtificialIntelligence to improve awareness of wtATTR-CM clinical conditions. digitalhealth
2021-01-08,"In additional to a vaccine, antivirals can play an important role in fighting viruses. Our investigational antiviral for COVID19 is currently in clinical trials and we are hopeful for its success."
2021-01-06,We are bridging the gap between our digitalinnovation and raredisease teams to provide a new educational tool for healthcare providers supporting underdiagnosed communities. ATTRCM digitalhealth
2021-01-05,"In order to realize the breakthroughs of the future, we’ve revolutionized how we work today. We're unlocking the pill to reveal Pfizer’s DNA: the power of science. "
